flight_number,origin_station_code,destination_station_code,record_locator,scheduled_departure_date,question_text,score,satisfaction_type,driver_sub_group1,driver_sub_group2,arrival_delay_minutes,arrival_delay_group,cabin_code_desc,cabin_name,entity,number_of_legs,seat_factor_band,loyalty_program_level,generation,fleet_type_description,fleet_usage,equipment_type_code,ua_uax,actual_flown_miles,haul_type,departure_gate,arrival_gate,international_domestic_indicator,response_group,media_provider,hub_spoke
2610,LAX,BOX,N8XXBX,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-21,Early & Ontime,Business,,Domestic,1,90+,premier 1k,Boomer,B737-MAX9,Mainline,37X,UA,2611,Medium,75B,B24,Domestic,member,VIASAT,hub departure
467,LIX,LAX,HHXXDL,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-24,Early & Ontime,Economy,Economy,Domestic,1,70+,non-elite,Gen Z,B737-800,Mainline,73Q,UA,2615,Medium,10,71A,Domestic,member,THALES,spoke departure
467,LIX,LAX,HJXXL9,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-24,Early & Ontime,Business,,Domestic,1,70+,premier gold,Boomer,B737-800,Mainline,73Q,UA,2615,Medium,10,71A,Domestic,member,THALES,spoke departure
2653,SFX,BOX,L7XXFT,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-24,Early & Ontime,Economy,Economy,Domestic,1,90+,,Millennial,B737-MAX9,Mainline,37X,UA,2704,Medium,E7,B26,Domestic,non-member,VIASAT,hub departure
478,BOX,SFX,PBXXT8,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-38,Early & Ontime,Business,,Domestic,1,70+,premier gold,Boomer,B737-MAX9,Mainline,37X,UA,2704,Medium,B23,F17,Domestic,member,VIASAT,spoke departure
478,BOX,SFX,PBXXT8,9/2/2022,What item did you choose?,other (specify),,food & beverage,comp,-38,Early & Ontime,Business,,Domestic,1,70+,premier gold,Boomer,B737-MAX9,Mainline,37X,UA,2704,Medium,B23,F17,Domestic,member,VIASAT,spoke departure
399,FAX,ORX,G8XXL4,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,12,Delayed,Economy,Economy,Domestic,1,90+,,Boomer,B737-MAX9,Mainline,37X,UA,2785,Medium,6,B9,Domestic,non-member,VIASAT,spoke departure
2391,ORX,ANX,PXXXRV,9/2/2022,What item did you choose?,other (specify),,food & beverage,comp,-4,Early & Ontime,Business,,Domestic,2,70+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,2846,Medium,C24,B5,Domestic,member,VIASAT,hub departure
2272,ANX,ORX,DBXX7W,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-15,Early & Ontime,Business,,Domestic,1,80+,premier gold,Boomer,B737-MAX9,Mainline,37X,UA,2846,Medium,B1,C20,Domestic,member,VIASAT,spoke departure
532,ANX,ORX,BEXXVR,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-3,Early & Ontime,Economy,Economy,Domestic,1,70+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,2846,Medium,B5,C23,Domestic,member,VIASAT,spoke departure
2391,ORX,ANX,PXXXRV,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-4,Early & Ontime,Business,,Domestic,2,70+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,2846,Medium,C24,B5,Domestic,member,VIASAT,hub departure
977,EWX,SNX,AQXX0G,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,0,Early & Ontime,Business,,Atlantic,1,90+,global services,Gen Z,B757-200,Mainline,75B,UA,3096,Long,C80,34,International,member,PANASONIC,hub departure
977,EWX,SNX,EKXXC8,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,0,Early & Ontime,Economy,Economy,Atlantic,1,90+,non-elite,Boomer,B757-200,Mainline,75B,UA,3096,Long,C80,34,International,member,PANASONIC,hub departure
977,EWX,SNX,EKXXC8,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,0,Early & Ontime,Economy,Economy,Atlantic,1,90+,non-elite,Boomer,B757-200,Mainline,75B,UA,3096,Long,C80,34,International,member,PANASONIC,hub departure
977,EWX,SNX,AQXX0G,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,0,Early & Ontime,Business,,Atlantic,1,90+,global services,Gen Z,B757-200,Mainline,75B,UA,3096,Long,C80,34,International,member,PANASONIC,hub departure
856,LIX,IAX,AHXXX2,9/2/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,-10,Early & Ontime,Economy,Economy,Latin,1,90+,,Gen X,B767-300,Mainline,76A,UA,3133,Long,19,E7,International,non-member,PANASONIC,spoke departure
856,LIX,IAX,GLXX96,9/2/2022,What item did you choose?,snack basket selection,,food & beverage,comp,-10,Early & Ontime,Business,,Latin,1,90+,premier 1k,Boomer,B767-300,Mainline,76A,UA,3133,Long,19,E7,International,member,PANASONIC,spoke departure
856,LIX,IAX,GLXX96,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-10,Early & Ontime,Business,,Latin,1,90+,premier 1k,Boomer,B767-300,Mainline,76A,UA,3133,Long,19,E7,International,member,PANASONIC,spoke departure
856,LIX,IAX,AHXXX2,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-10,Early & Ontime,Economy,Economy,Latin,1,90+,,Gen X,B767-300,Mainline,76A,UA,3133,Long,19,E7,International,non-member,PANASONIC,spoke departure
24,EWX,DUX,B1XXN8,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-1,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Boomer,B767-400,Mainline,76S,UA,3193,Long,C120,HOLD,International,non-member,PANASONIC,hub departure
317,DUX,EWX,N7XXH4,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,0,Early & Ontime,Business,,Atlantic,2,90+,premier platinum,Gen X,B757-200,Mainline,75B,UA,3193,Long,USPC,C83,International,member,PANASONIC,spoke departure
23,DUX,EWX,C3XX8W,9/2/2022,What item did you choose?,sandwich/burger/wrap,,food & beverage,comp,-26,Early & Ontime,Business,,Atlantic,1,80+,premier 1k,Gen X,B767-400,Mainline,76S,UA,3193,Long,USPC,C110,International,member,PANASONIC,spoke departure
23,DUX,EWX,BMXX3E,9/2/2022,What item did you choose?,sandwich/burger/wrap,,food & beverage,comp,-26,Early & Ontime,Business,,Atlantic,1,80+,non-elite,Gen X,B767-400,Mainline,76S,UA,3193,Long,USPC,C110,International,member,PANASONIC,spoke departure
317,DUX,EWX,G5XXL1,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,0,Early & Ontime,Economy,Economy Plus,Atlantic,1,90+,premier silver,Gen X,B757-200,Mainline,75B,UA,3193,Long,USPC,C83,International,member,PANASONIC,spoke departure
23,DUX,EWX,C3XX8W,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-26,Early & Ontime,Business,,Atlantic,1,80+,premier 1k,Gen X,B767-400,Mainline,76S,UA,3193,Long,USPC,C110,International,member,PANASONIC,spoke departure
24,EWX,DUX,B1XXN8,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-1,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Boomer,B767-400,Mainline,76S,UA,3193,Long,C120,HOLD,International,non-member,PANASONIC,hub departure
23,DUX,EWX,BMXX3E,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-26,Early & Ontime,Business,,Atlantic,1,80+,non-elite,Gen X,B767-400,Mainline,76S,UA,3193,Long,USPC,C110,International,member,PANASONIC,spoke departure
317,DUX,EWX,N7XXH4,9/2/2022,What item did you choose?,other (specify),,food & beverage,comp,0,Early & Ontime,Business,,Atlantic,2,90+,premier platinum,Gen X,B757-200,Mainline,75B,UA,3193,Long,USPC,C83,International,member,PANASONIC,spoke departure
26,LHX,BOX,JEXXFF,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-10,Early & Ontime,United Premium Plus,,Atlantic,1,0 to 70,non-elite,Gen X,B767-300,Mainline,76L,UA,3265,Long,244,E-9,International,member,PANASONIC,spoke departure
26,LHX,BOX,JEXXFF,9/2/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,-10,Early & Ontime,United Premium Plus,,Atlantic,1,0 to 70,non-elite,Gen X,B767-300,Mainline,76L,UA,3265,Long,244,E-9,International,member,PANASONIC,spoke departure
1590,ANX,IAX,G5XX82,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,9,Delayed,Business,,Domestic,1,70+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,3265,Long,B5,E10,Domestic,member,VIASAT,spoke departure
1553,IAX,ANX,F0XX6R,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,12,Delayed,Economy,Economy,Domestic,1,0 to 70,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,3265,Long,C4,B5,Domestic,member,VIASAT,hub departure
1590,ANX,IAX,G5XX82,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,9,Delayed,Business,,Domestic,1,70+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,3265,Long,B5,E10,Domestic,member,VIASAT,spoke departure
38,EDX,EWX,H0XXDE,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,16,Delayed,Economy,Economy,Atlantic,1,90+,,Gen X,B757-200,Mainline,75S,UA,3269,Long,4,B56,International,non-member,PANASONIC,spoke departure
38,EDX,EWX,H0XXDE,9/2/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,16,Delayed,Economy,Economy,Atlantic,1,90+,,Gen X,B757-200,Mainline,75S,UA,3269,Long,4,B56,International,non-member,PANASONIC,spoke departure
37,EWX,EDX,KYXXRS,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,18,Delayed,Economy,Economy Plus,Atlantic,1,90+,non-elite,Gen X,B757-200,Mainline,75B,UA,3269,Long,C81,2,International,member,PANASONIC,hub departure
37,EWX,EDX,KYXXRS,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,18,Delayed,Economy,Economy Plus,Atlantic,1,90+,non-elite,Gen X,B757-200,Mainline,75B,UA,3269,Long,C81,2,International,member,PANASONIC,hub departure
1431,OGX,DEX,O5XXG5,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,7,Delayed,Business,,Domestic,1,0 to 70,premier silver,Boomer,B777-200,Mainline,77G,UA,3303,Long,23,B42,Domestic,member,PANASONIC,spoke departure
1431,OGX,DEX,JNXX07,9/2/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,7,Delayed,Economy,Economy Plus,Domestic,1,0 to 70,premier silver,Millennial,B777-200,Mainline,77G,UA,3303,Long,23,B42,Domestic,member,PANASONIC,spoke departure
1431,OGX,DEX,JNXX07,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,7,Delayed,Economy,Economy Plus,Domestic,1,0 to 70,premier silver,Millennial,B777-200,Mainline,77G,UA,3303,Long,23,B42,Domestic,member,PANASONIC,spoke departure
1431,OGX,DEX,BEXXQQ,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,7,Delayed,Economy,Economy Plus,Domestic,1,0 to 70,non-elite,Boomer,B777-200,Mainline,77G,UA,3303,Long,23,B42,Domestic,member,PANASONIC,spoke departure
1431,OGX,DEX,K1XXDN,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,7,Delayed,Economy,Economy,Domestic,1,0 to 70,non-elite,Gen X,B777-200,Mainline,77G,UA,3303,Long,23,B42,Domestic,member,PANASONIC,spoke departure
1431,OGX,DEX,BEXXQQ,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,7,Delayed,Economy,Economy Plus,Domestic,1,0 to 70,non-elite,Boomer,B777-200,Mainline,77G,UA,3303,Long,23,B42,Domestic,member,PANASONIC,spoke departure
1431,OGX,DEX,K1XXDN,9/2/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,7,Delayed,Economy,Economy,Domestic,1,0 to 70,non-elite,Gen X,B777-200,Mainline,77G,UA,3303,Long,23,B42,Domestic,member,PANASONIC,spoke departure
1732,KOX,DEX,BTXXRR,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-19,Early & Ontime,Economy,Economy Plus,Domestic,1,70+,global services,Boomer,B757-200,Mainline,75B,UA,3331,Long,2,B24,Domestic,member,PANASONIC,spoke departure
1732,KOX,DEX,BTXXRR,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-19,Early & Ontime,Economy,Economy Plus,Domestic,1,70+,global services,Boomer,B757-200,Mainline,75B,UA,3331,Long,2,B24,Domestic,member,PANASONIC,spoke departure
146,OPX,EWX,CNXXDQ,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-60,Early & Ontime,Economy,Economy,Atlantic,1,90+,premier 1k,Boomer,B757-200,Mainline,75S,UA,3340,Long,11,C134,International,member,PANASONIC,spoke departure
145,EWX,OPX,LNXXFR,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-21,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Boomer,B757-200,Mainline,75B,UA,3340,Long,C74,HOLD,International,non-member,PANASONIC,hub departure
145,EWX,OPX,EYXXC8,9/2/2022,What item did you choose?,seafood entrée,,food & beverage,comp,-21,Early & Ontime,Business,,Atlantic,1,90+,non-elite,Boomer,B757-200,Mainline,75B,UA,3340,Long,C74,HOLD,International,member,PANASONIC,hub departure
146,OPX,EWX,B8XXT0,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-60,Early & Ontime,Economy,Economy,Atlantic,2,90+,non-elite,Millennial,B757-200,Mainline,75S,UA,3340,Long,11,C134,International,member,PANASONIC,spoke departure
146,OPX,EWX,CNXXDQ,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-60,Early & Ontime,Economy,Economy,Atlantic,1,90+,premier 1k,Boomer,B757-200,Mainline,75S,UA,3340,Long,11,C134,International,member,PANASONIC,spoke departure
146,OPX,EWX,K0XXQH,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-60,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Gen X,B757-200,Mainline,75S,UA,3340,Long,11,C134,International,non-member,PANASONIC,spoke departure
145,EWX,OPX,EYXXC8,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-21,Early & Ontime,Business,,Atlantic,1,90+,non-elite,Boomer,B757-200,Mainline,75B,UA,3340,Long,C74,HOLD,International,member,PANASONIC,hub departure
146,OPX,EWX,B8XXT0,9/2/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,-60,Early & Ontime,Economy,Economy,Atlantic,2,90+,non-elite,Millennial,B757-200,Mainline,75S,UA,3340,Long,11,C134,International,member,PANASONIC,spoke departure
145,EWX,OPX,LNXXFR,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-21,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Boomer,B757-200,Mainline,75B,UA,3340,Long,C74,HOLD,International,non-member,PANASONIC,hub departure
385,DEX,HNX,MSXXZE,9/2/2022,What item did you choose?,other (specify),,food & beverage,comp,14,Delayed,Economy,Economy,Domestic,2,80+,non-elite,Boomer,B777-200,Mainline,77G,UA,3365,Long,B38,G4,Domestic,member,PANASONIC,hub departure
385,DEX,HNX,HCXXLQ,9/2/2022,What item did you choose?,other (specify),,food & beverage,comp,14,Delayed,Economy,Economy,Domestic,1,80+,non-elite,Boomer,B777-200,Mainline,77G,UA,3365,Long,B38,G4,Domestic,member,PANASONIC,hub departure
384,HNX,DEX,FSXX58,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,23,Delayed,Business,,Domestic,1,90+,premier 1k,Gen X,B777-200,Mainline,77M,UA,3365,Long,G1,B36,Domestic,member,PANASONIC,spoke departure
385,DEX,HNX,HCXXLQ,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,14,Delayed,Economy,Economy,Domestic,1,80+,non-elite,Boomer,B777-200,Mainline,77G,UA,3365,Long,B38,G4,Domestic,member,PANASONIC,hub departure
385,DEX,HNX,I6XX25,9/2/2022,What item did you choose?,other (specify),,food & beverage,comp,14,Delayed,Economy,Economy,Domestic,2,80+,,Boomer,B777-200,Mainline,77G,UA,3365,Long,B38,G4,Domestic,non-member,PANASONIC,hub departure
385,DEX,HNX,MSXXZE,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,14,Delayed,Economy,Economy,Domestic,2,80+,non-elite,Boomer,B777-200,Mainline,77G,UA,3365,Long,B38,G4,Domestic,member,PANASONIC,hub departure
385,DEX,HNX,I6XX25,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,14,Delayed,Economy,Economy,Domestic,2,80+,,Boomer,B777-200,Mainline,77G,UA,3365,Long,B38,G4,Domestic,non-member,PANASONIC,hub departure
384,HNX,DEX,FSXX58,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,23,Delayed,Business,,Domestic,1,90+,premier 1k,Gen X,B777-200,Mainline,77M,UA,3365,Long,G1,B36,Domestic,member,PANASONIC,spoke departure
1268,EWX,ANX,AGXXC5,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,10,Delayed,Economy,Economy,Domestic,1,0 to 70,non-elite,Boomer,B737-MAX8,Mainline,37E,UA,3369,Long,C95,B3,Domestic,member,VIASAT,hub departure
1268,EWX,ANX,J1XXKG,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,10,Delayed,Business,,Domestic,1,0 to 70,premier silver,Boomer,B737-MAX8,Mainline,37E,UA,3369,Long,C95,B3,Domestic,member,VIASAT,hub departure
1661,ANX,EWX,KYXXMZ,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-22,Early & Ontime,Economy,Economy,Domestic,1,80+,non-elite,Millennial,B737-MAX8,Mainline,37E,UA,3369,Long,B3,C132,Domestic,member,VIASAT,spoke departure
1268,EWX,ANX,J1XXKG,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,10,Delayed,Business,,Domestic,1,0 to 70,premier silver,Boomer,B737-MAX8,Mainline,37E,UA,3369,Long,C95,B3,Domestic,member,VIASAT,hub departure
66,LIX,EWX,MGXXRT,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-18,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Boomer,B787-10,Mainline,78J,UA,3385,Long,46A,B62,International,non-member,PANASONIC,spoke departure
65,EWX,LIX,I4XX29,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,26,Delayed,Economy,Economy Plus,Atlantic,1,90+,premier platinum,Gen X,B787-10,Mainline,78J,UA,3385,Long,C98,HOLD,International,member,PANASONIC,hub departure
66,LIX,EWX,MGXXRT,9/2/2022,What item did you choose?,other (specify),,food & beverage,comp,-18,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Boomer,B787-10,Mainline,78J,UA,3385,Long,46A,B62,International,non-member,PANASONIC,spoke departure
65,EWX,LIX,I4XX29,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,26,Delayed,Economy,Economy Plus,Atlantic,1,90+,premier platinum,Gen X,B787-10,Mainline,78J,UA,3385,Long,C98,HOLD,International,member,PANASONIC,hub departure
66,LIX,EWX,HTXXX4,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-18,Early & Ontime,Business,,Atlantic,1,90+,premier silver,Boomer,B787-10,Mainline,78J,UA,3385,Long,46A,B62,International,member,PANASONIC,spoke departure
66,LIX,EWX,CSXX22,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-18,Early & Ontime,Business,,Atlantic,1,90+,global services,Boomer,B787-10,Mainline,78J,UA,3385,Long,46A,B62,International,member,PANASONIC,spoke departure
66,LIX,EWX,FGXXS0,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-18,Early & Ontime,Economy,Economy Plus,Atlantic,1,90+,non-elite,Gen X,B787-10,Mainline,78J,UA,3385,Long,46A,B62,International,member,PANASONIC,spoke departure
66,LIX,EWX,HNXXC2,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-18,Early & Ontime,Economy,Economy,Atlantic,2,90+,,Gen Z,B787-10,Mainline,78J,UA,3385,Long,46A,B62,International,non-member,PANASONIC,spoke departure
127,IAX,DUX,IQXXVL,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-10,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Gen X,B777-200,Mainline,77N,UA,3405,Long,C4,HOLD,International,non-member,PANASONIC,hub departure
2308,DEX,LIX,ECXXHF,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-21,Early & Ontime,Economy,Economy Plus,Domestic,1,70+,premier silver,Boomer,B757-200,Mainline,75B,UA,3414,Long,B37,9,Domestic,member,PANASONIC,hub departure
884,LHX,EWX,CFXXP5,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-20,Early & Ontime,Business,,Atlantic,1,90+,premier 1k,Gen X,B767-300,Mainline,76L,UA,3466,Long,231,B55,International,member,PANASONIC,spoke departure
17,EWX,LHX,P6XXGT,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,14,Delayed,Economy,Economy,Atlantic,1,90+,,Millennial,B767-300,Mainline,76L,UA,3466,Long,C71,246,International,non-member,PANASONIC,hub departure
941,EWX,LHX,ADXX1K,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,1,Delayed,Business,,Atlantic,1,90+,premier gold,Millennial,B767-300,Mainline,76L,UA,3466,Long,C128,211,International,member,PANASONIC,hub departure
941,EWX,LHX,PJXXLQ,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,1,Delayed,Business,,Atlantic,1,90+,premier gold,Boomer,B767-300,Mainline,76L,UA,3466,Long,C128,211,International,member,PANASONIC,hub departure
17,EWX,LHX,K1XXTK,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,14,Delayed,Economy,Economy Plus,Atlantic,2,90+,,Millennial,B767-300,Mainline,76L,UA,3466,Long,C71,246,International,non-member,PANASONIC,hub departure
941,EWX,LHX,JVXXKX,9/2/2022,What item did you choose?,other (specify),,food & beverage,comp,1,Delayed,Business,,Atlantic,1,90+,premier platinum,Millennial,B767-300,Mainline,76L,UA,3466,Long,C128,211,International,member,PANASONIC,hub departure
942,LHX,EWX,CNXXSX,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-15,Early & Ontime,Business,,Atlantic,1,90+,premier gold,Gen X,B767-300,Mainline,76L,UA,3466,Long,233,B65,International,member,PANASONIC,spoke departure
941,EWX,LHX,H7XX48,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,1,Delayed,Economy,Economy Plus,Atlantic,2,90+,non-elite,Millennial,B767-300,Mainline,76L,UA,3466,Long,C128,211,International,member,PANASONIC,hub departure
941,EWX,LHX,JVXXKX,9/2/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,1,Delayed,Business,,Atlantic,1,90+,premier platinum,Millennial,B767-300,Mainline,76L,UA,3466,Long,C128,211,International,member,PANASONIC,hub departure
941,EWX,LHX,ADXX1K,9/2/2022,What item did you choose?,beef entrée,,food & beverage,comp,1,Delayed,Business,,Atlantic,1,90+,premier gold,Millennial,B767-300,Mainline,76L,UA,3466,Long,C128,211,International,member,PANASONIC,hub departure
15,EWX,LHX,K3XX25,9/2/2022,What item did you choose?,seafood entrée,,food & beverage,comp,-6,Early & Ontime,Business,,Atlantic,1,90+,non-elite,Millennial,B767-300,Mainline,76L,UA,3466,Long,C128,248,International,member,PANASONIC,hub departure
17,EWX,LHX,P6XXGT,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,14,Delayed,Economy,Economy,Atlantic,1,90+,,Millennial,B767-300,Mainline,76L,UA,3466,Long,C71,246,International,non-member,PANASONIC,hub departure
942,LHX,EWX,CNXXSX,9/2/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-15,Early & Ontime,Business,,Atlantic,1,90+,premier gold,Gen X,B767-300,Mainline,76L,UA,3466,Long,233,B65,International,member,PANASONIC,spoke departure
